Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
Camales,Occitanie,Hautes-Pyrenees,Chateau,17e siecle,43.360994, 0.074204
"Pennautier,Occitanie,Aude,Chateau,1er quart 17e siecle;18e siecle;19e siecle,43.243769882, 2.31760173156"
"Sauveterre,Occitanie,Tarn,Chateau,16e siecle;1er quart 19e siecle,43.4741121602, 2.55391570898"
"Villar-en-Val,Occitanie,Aude,Chateau,17e siecle;19e siecle,43.0834961617, 2.45951913265"
Viviers-les-Montagnes,Occitanie,Tarn,Chateau,16e siecle,43.5541906696, 2.17852872375
"Castagnac,Occitanie,Haute-Garonne,Chateau,Moyen Age;limite 15e siecle 16e siecle;18e siecle;19e siecle,43.2323605338, 1.35183576734"
"Launac,Occitanie,Haute-Garonne,Chateau,Moyen Age;15e siecle;16e siecle;17e siecle,43.7435645234, 1.18023714444"
Saint-Genies-de-Fontedit,Occitanie,Herault,Chateau,17e siecle,43.4679235493, 3.1774925778
Caveirac,Occitanie,Gard,Chateau,2e moitie 17e siecle,43.8258971656, 4.26038387274
"Nadaillac-de-Rouge,Occitanie,Lot,Chateau,15e siecle;17e siecle;18e siecle,44.8496021919, 1.42865287414"
Barjac,Occitanie,Gard,Chateau,1ere moitie 17e siecle,44.3078777521, 4.34618971479
"La Salvetat-Saint-Gilles,Occitanie,Haute-Garonne,Chateau,13e siecle;14e siecle;1er quart 17e siecle,43.5776625507, 1.27199080748"
Merville,Occitanie,Haute-Garonne,Chateau,18e siecle,43.7217434355, 1.30190644016
"Thegra,Occitanie,Lot,Chateau,15e siecle;18e siecle,44.8209143199, 1.7570241567"
"Fournels,Occitanie,Lozere,Chateau,3e quart 16e siecle;17e siecle;18e siecle,44.8186620226, 3.12309914605"
"Massaguel,Occitanie,Tarn,Chateau,13e siecle;16e siecle;17e siecle;18e siecle,43.4931523452, 2.16045357449"
"Courrensan,Occitanie,Gers,Chateau,13e siecle;15e siecle;16e siecle;18e siecle,43.850435, 0.243711"
"La Pomarede,Occitanie,Aude,Chateau,14e siecle;15e siecle,43.4047540833, 1.95091405457"
"Castelnau-d'Estretefonds,Occitanie,Haute-Garonne,Chateau,16e siecle;18e siecle;19e siecle,43.785944351, 1.35873367302"
"Latoue,Occitanie,Haute-Garonne,Chateau,11e siecle;13e siecle;16e siecle;18e siecle,43.173448, 0.780384"
"Brassac,Occitanie,Tarn-et-Garonne,Chateau,12e siecle;15e siecle;16e siecle,44.221493, 0.978441"
"Saint-Elix-Seglan,Occitanie,Haute-Garonne,Chateau,14e siecle;15e siecle;17e siecle,43.197545, 0.850717"
Laloubere,Occitanie,Hautes-Pyrenees,Chateau,1ere moitie 19e siecle,43.207514, 0.076802
"Tressan,Occitanie,Herault,Chateau,Moyen Age;17e siecle,43.5743646588, 3.49017822741"
"Puissalicon,Occitanie,Herault,Chateau,4e quart 13e siecle;16e siecle;1er quart 17e siecle,43.4582384273, 3.2358531622"
"Cabrerets,Occitanie,Lot,Chateau,1er quart 16e siecle;17e siecle,44.5043403128, 1.65396339741"
"Montrozier,Occitanie,Aveyron,Chateau,15e siecle;16e siecle,44.405994018, 2.74599308714"
"Lacapelle-Marival,Occitanie,Lot,Chateau,12e siecle;15e siecle;16e siecle,44.7276769045, 1.92615815986"
"Molleville,Occitanie,Aude,Chateau,13e siecle;18e siecle,43.3114366266, 1.83532847704"
Vezins-de-Levezou,Occitanie,Aveyron,Chateau,17e siecle,44.2797157481, 2.95299045115
"Montpezat,Occitanie,Gard,Chateau,14e siecle;16e siecle,43.8503155112, 4.15592691044"
Marquein,Occitanie,Aude,Chateau,16e siecle,43.3017111163, 1.73313908235
"Goudourville,Occitanie,Tarn-et-Garonne,Chateau,12e siecle;13e siecle;17e siecle,44.110307, 0.92695"
Calamane,Occitanie,Lot,Chateau,15e siecle,44.523100734, 1.39395282311
"Piquecos,Occitanie,Tarn-et-Garonne,Chateau,15e siecle;17e siecle,44.1017790602, 1.31562921196"
Durban-sur-Arize,Occitanie,Ariege,Chateau,Moyen Age,43.0217616798, 1.33200819615
Couiza,Occitanie,Aude,Chateau,16e siecle,42.9451597725, 2.2538155672
Sainte-Mere,Occitanie,Gers,Chateau,2e moitie 13e siecle,44.004595, 0.670476
"Villevieille,Occitanie,Gard,Chateau,13e siecle;18e siecle,43.7897709319, 4.09706220222"
Laas,Occitanie,Gers,Chateau,18e siecle,43.472198, 0.305433
"Barbazan,Occitanie,Haute-Garonne,Chateau,16e siecle;18e siecle,43.034152, 0.61885"
"Maureilhan,Occitanie,Herault,Chateau,14e siecle;4e quart 16e siecle;1er quart 17e siecle,43.3589798661, 3.12020456488"
Arques,Occitanie,Aude,Chateau,14e siecle,42.9531041789, 2.36707031715
Clermont-Saves,Occitanie,Gers,Chateau,2e moitie 18e siecle,43.6190152115, 1.02706137755
"Marsac,Occitanie,Tarn-et-Garonne,Chateau,13e siecle;16e siecle,43.942252, 0.822139"
Labastide-Paumes,Occitanie,Haute-Garonne,Chateau,16e siecle,43.331754, 0.936401
"Gaudies,Occitanie,Ariege,Chateau,13e siecle;2e quart 18e siecle,43.1756424619, 1.73096202104"
"Servies-en-Val,Occitanie,Aude,Chateau,13e siecle;14e siecle;17e siecle;18e siecle;19e siecle,43.0888621515, 2.51934951043"
Rousson,Occitanie,Gard,Chateau,17e siecle,44.1851536891, 4.13634995752
Pougnadoresse,Occitanie,Gard,Chateau,12e siecle,44.0930040153, 4.50700304969
Saint-Martory,Occitanie,Haute-Garonne,Chateau,16e siecle,43.142231, 0.936731
"Caylus,Occitanie,Tarn-et-Garonne,Chateau,19e siecle;20e siecle,44.235140506, 1.77102485302"
Negrepelisse,Occitanie,Tarn-et-Garonne,Chateau,3e quart 13e siecle,44.0768931066, 1.52355853605
"Leuc,Occitanie,Aude,Chateau,13e siecle;14e siecle;15e siecle;17e siecle,43.1472692267, 2.32165560348"
"Beduer,Occitanie,Lot,Chateau,13e siecle;17e siecle,44.5799599202, 1.95240947742"
"Saint-Laurent-les-Tours,Occitanie,Lot,Chateau,13e siecle;15e siecle;19e siecle;milieu 20e siecle,44.8648893667, 1.89408197991"
"Aragon,Occitanie,Aude,Chateau,16e siecle;17e siecle,43.2967963388, 2.31365033953"
Villaudric,Occitanie,Haute-Garonne,Chateau,1ere moitie 19e siecle,43.8313591435, 1.434006957
"Mailhoc,Occitanie,Tarn,Chateau,15e siecle;16e siecle,44.0081506231, 2.06522912054"
Pouylebon,Occitanie,Gers,Chateau,13e siecle,43.542366, 0.296414
"Avensac,Occitanie,Gers,Chateau,14e siecle;1ere moitie 19e siecle,43.830452, 0.906877"
"Espas,Occitanie,Gers,Chateau,12e siecle;13e siecle;17e siecle,43.781265, 0.067673"
"Saint-Hippolyte-de-Caton,Occitanie,Gard,Chateau,15e siecle;18e siecle,44.069994543, 4.20411151917"
"Maubourguet,Occitanie,Hautes-Pyrenees,Chateau,18e siecle;19e siecle,43.465633, 0.032828"
"Crampagna,Occitanie,Ariege,Chateau,13e siecle;14e siecle;16e siecle;18e siecle,43.0327621075, 1.6041765641"
"Salleles-d'Aude,Occitanie,Aude,Chateau,1ere moitie 16e siecle;17e siecle;18e siecle,43.2554004456, 2.9474241505"
