Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude;
Saint-Jean-d'Angle,Nouvelle-Aquitaine,Charente-Maritime,Chateau,12e siecle,45.8205910315, -0.950907518615;
Reaux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vincent,12e siecle,45.477192669, -0.373577300658;
Mosnac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Saturnin,12e siecle,45.5054217745, -0.522599505452;
Neuvicq-le-Chateau,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,45.802858871, -0.165561482645;
Lussant,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.9585863926, -0.821906304098;
Macqueville,Nouvelle-Aquitaine,Charente-Maritime,Logis de Bouchereau,12e siecle,45.8004447679, -0.2084901658;
Saint-Julien-de-l'Escap,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Julien,12e siecle,45.9339491229, -0.490897036818;
La Clisse,Nouvelle-Aquitaine,Charente-Maritime,Eglise Sainte-Madeleine,12e siecle,45.7352332034, -0.762633034047;
Gemozac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5674814809, -0.67678263297;
Matha,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Herie,12e siecle,45.8607665689, -0.323525396722;
Villars-en-Pons,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pallais,12e siecle,45.6043384843, -0.621160119692;
Vouhe,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,46.1475130224, -0.8013058425;
Saint-Agnant,Nouvelle-Aquitaine,Charente-Maritime,Ancienne abbaye de Montierneuf,12e siecle,45.8761505237, -0.950557498739;
Migron,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Nazaire,12e siecle,45.803501354, -0.397601006155;
Allas-Bocage,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.3841329006, -0.491951119722;
Floirac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne,12e siecle,45.4777179365, -0.749251914239;
Arces,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5534461962, -0.858946835777;
Pont-l'Abbe-d'Arnoult,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.828201321, -0.875389918577;
Saint-Pierre-de-l'Ile,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre-es-Liens,12e siecle,46.0304833757, -0.43223458765;
Esnandes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,46.249089235, -1.10929369776;
La Gripperie-Saint-Symphorien,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Symphorien,12e siecle,45.7957283565, -0.95894795042;
Saint-Ciers-du-Taillon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Cyriaque,12e siecle,45.4231838016, -0.641470312586;
Authon-Ebeon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.8352595331, -0.409656340521;
Cozes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5822197224, -0.833360716766;
Aulnay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de Salles,12e siecle,46.0252412627, -0.336519599159;
Saint-Simon-de-Pellouaille,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,45.6128490331, -0.696903068658;
Sainte-Soulle,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,46.1855917248, -1.00869514817;
Chadenac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.5419693808, -0.443083727433;
Saintes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.7444636247, -0.631933292966;
Brie-sous-Matha,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.8188670196, -0.249324295773;
Ecurat,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.7829746322, -0.674703655743;
La Frediere,Nouvelle-Aquitaine,Charente-Maritime,Eglise de la Frediere,12e siecle,45.8660905732, -0.5872469516;
La Jard,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Jacques,12e siecle,45.6544976463, -0.585890119445;
Salignac-de-Mirambeau,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.3446232994, -0.482002474844;
Doeuil-sur-le-Mignon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,46.1307019334, -0.544813641604;
Ars-en-Re,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne,12e siecle,46.20776119, -1.51555857521;
Le Douhet,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martial,12e siecle,45.818685433, -0.568587993224;
Nere,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.9734612472, -0.236085157155;
Montguyon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vincent,12e siecle,45.2205562794, -0.17934573557;
Pommiers-Moulons,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne de Moulons,12e siecle,45.3284320004, -0.329852118329;
Saint-Savinien,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Savinien,12e siecle,45.8812153801, -0.682879533759;
La Genetouze,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Antoine,12e siecle,45.2184119652, -0.0274089652175;
Tugeras-Saint-Maurice,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,45.3595893841, -0.40827394669;
Gourvillette,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martial,12e siecle,45.891014812, -0.220771684112;
Avy,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.5529939825, -0.509865459315;
Seigne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,45.9519352335, -0.211704584809;
Villars-les-Bois,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Victorin ou Saint-Victorinien,12e siecle,45.7990358571, -0.434959623349;
Archingeay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.9318271628, -0.705711469291;
Champagnolles,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5134163045, -0.6372161168;
Beurlay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Sainte-Madeleine,12e siecle,45.8595553515, -0.835972644163;
Grezac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Symphorien,12e siecle,45.6030983, -0.841850595731;
Consac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.4176667575, -0.594244308626;
Saint-Leger,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Leger,12e siecle,45.6170337953, -0.586765865794;
Berneuil,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.6431658835, -0.601585305749;
Bois,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.4883339238, -0.598810103928;
Le Gua,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,45.7258045919, -0.943206902954;
Champdolent,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.9197710095, -0.800110286778;
Vandre,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,46.0544796154, -0.764419069251;
Aujac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.8445011709, -0.396401856835;
Saint-Palais-sur-Mer,Nouvelle-Aquitaine,Charente-Maritime,Restes de l'ancienne eglise Saint-Pallais,12e siecle,45.642940638, -1.08238060832;
La Flotte,Nouvelle-Aquitaine,Charente-Maritime,Ancienne abbaye Notre-Dame de Re dite des Chateliers,12e siecle,46.1858984242, -1.29717418426 dite des Chateliers,12e siecle,46.1858984242, -1.29717418426;
Echillais,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.898358982, -0.952836408753;
Aulnay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,46.0228661973, -0.355188432128;
Nieul-le-Virouil,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Severin,12e siecle,45.4087078856, -0.531090052955;
Perignac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.6248554019, -0.463370864944;
Saintes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pallais,12e siecle,45.7452277858, -0.624223222333;
Arthenac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.5150001524, -0.31400260609;
Ecoyeux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.8221377209, -0.505173666005;
Saint-Simon-de-Bordes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Simon,12e siecle,45.3956197291, -0.454819019339;
Mazeray,Nouvelle-Aquitaine,Charente-Maritime,Eglise de la Nativite de la Sainte-Vierge,12e siecle,45.9075403363, -0.562848556567;
Saint-Georges-des-Agoûts,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Georges,12e siecle,45.3755161744, -0.646774551588;
Champagne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Andre,12e siecle,45.8312591788, -0.908386677611;
Royan,Nouvelle-Aquitaine,Charente-Maritime,Eglise paroissiale Saint-Pierre,12e siecle,45.6305450441, -1.02699190104;
Saint-Georges-d'Oleron,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Georges,12e siecle,45.9791928449, -1.33135384281;
